variant,delta,p,decision_p005,pearson_r,pearson_p,spearman_r,spearman_p,random_key_fpr
identity,0.10848463718866697,0.0004279336870852643,True,0.10516191109767155,0.0003752679977092959,0.12045723884199983,5.577234043705179e-05,0.001
jpeg75,0.11027768092026236,0.0004837227645833754,True,0.12109583366055215,5.124133012238192e-05,0.1281421885058293,1.956928900747642e-05,0.003
resize48,0.10660523747719708,0.00016085081095872685,True,0.11465183904914118,0.00011822452404236066,0.12680328436807095,2.358894218068906e-05,0.006
blur06,0.0776526951813139,0.0008940872842845036,True,0.11705981759510357,8.692962566117334e-05,0.13101987742293109,1.3016256064003304e-05,0.005
noise002,0.11503875409835018,0.00027524902217037955,True,0.09474344410971544,0.0012030123060514009,0.1090417128603104,0.0002365867397455452,0.006
