budget,num_splits,positive_margins,exact_one_sided_sign_p,mean_margin,median_margin,min_margin,max_margin,protected_decision_p005_splits,clean_decision_p005_splits,constant_decision_p005_splits
200,32,26,0.0002675263676792383,0.17722476346476468,0.1846005945559591,-0.17633460689336058,0.5601979670301079,4,0,0
400,16,15,0.0002593994140625,0.2266695094751776,0.2289640153897926,-0.008765473533421775,0.35313117038458586,1,0,0
800,8,8,0.00390625,0.2266728713392513,0.21536549864802512,0.13613014851929617,0.3597484895633533,4,0,0
