budget,split,protected_per_group,protected_low_score_mean,protected_high_score_mean,protected_low_projection_mean,protected_high_projection_mean,protected_delta,protected_one_sided_t,protected_one_sided_p,protected_cohen_d,protected_decision_p005,clean_per_group,clean_low_score_mean,clean_high_score_mean,clean_low_projection_mean,clean_high_projection_mean,clean_delta,clean_one_sided_t,clean_one_sided_p,clean_cohen_d,clean_decision_p005,constant_per_group,constant_low_score_mean,constant_high_score_mean,constant_low_projection_mean,constant_high_projection_mean,constant_delta,constant_one_sided_t,constant_one_sided_p,constant_cohen_d,constant_decision_p005,matched_margin,matched_margin_positive,matched_margin_vs
200,0,100,0.41675842715412126,0.6499566645919755,0.3602312793955207,0.3826067630946636,0.02237548369914294,0.17008525468329516,0.432570290666933,0.024053687393279805,False,100,0.4253856239186959,0.659110298996656,-0.058717642314732074,-0.04647399090230465,0.012243651412427427,0.07610308179643811,0.46970701945595933,0.010762601041491179,False,100,0.4100781841861148,0.6330530846408572,0.20627555709332226,0.30870636701583865,0.10243080992251638,0.7226163052054748,0.23539518789360936,0.10219337792135183,False,-0.08005532622337344,False,constant
200,1,100,0.41006586154226615,0.6421217312015325,0.13976150784641506,0.26205987751483917,0.12229836966842411,0.8062332571225033,0.21053998113763445,0.11401860066588788,False,100,0.40644607245159853,0.6276807042932697,0.1172126928716898,-0.07348526310175657,-0.19069795597344635,-1.3983360676853678,0.918184501566133,-0.19775458316761094,False,100,0.3987474757410155,0.6379722044828858,0.2811320128664374,0.28109017919749024,-4.183366894716656e-05,-0.000285784368331025,0.5001138516729722,-4.0416012960796364e-05,False,0.12234020333737128,True,constant
200,2,100,0.4233224929839857,0.6540569308506948,0.3574038071930408,0.21384185075759887,-0.14356195643544195,-1.0457065157369279,0.8514740418434449,-0.14788523368170778,False,100,0.400710192092965,0.6193029635839946,-0.06887291226536035,-0.03610026180744171,0.03277265045791864,0.24919400673283387,0.40173470373224235,0.035241354398366606,False,100,0.40102319129144176,0.6237821752138019,0.5169981816411018,0.14502173790708184,-0.37197644373401995,-2.82863490637752,0.9974191307875886,-0.4000293847601038,False,-0.17633460689336058,False,clean
200,3,100,0.39097257907691074,0.6334600429721118,0.24406256061047316,0.4123520327359438,0.16828947212547063,1.1070453079677143,0.1348985534492009,0.15655984886894414,False,100,0.3853047682401374,0.6452406261448211,0.10177367350086569,0.13025351494550705,0.028479841444641357,0.1906288101055923,0.42451556402225016,0.026958984863037397,False,100,0.3969230445762944,0.6439697998310505,0.33634159203618763,0.25270355317741633,-0.0836380388587713,-0.5496278257820736,0.708396553493376,-0.0777291125478645,False,0.13980963068082927,True,clean
200,4,100,0.39537604856902164,0.6351855376713241,0.03863575704395771,0.4276816968619823,0.3890459398180246,2.9503814375692223,0.001784381114668764,0.41724694431842224,True,100,0.38432557221043495,0.6364192268712916,0.08985991057008505,-0.206864512860775,-0.29672442343086003,-2.2329586980569527,0.986637142076836,-0.3157880475011111,False,100,0.4227008824111483,0.6546134134432176,0.4767269993573427,0.30557497214525936,-0.17115202721208334,-1.0735885102838174,0.8577994771994375,-0.15182834316513016,False,0.5601979670301079,True,constant
200,5,100,0.3965614998230131,0.6322024496390566,-0.017582034170627595,0.38814532034099103,0.4057273545116186,2.847627223456362,0.0024392266006148097,0.40271530399948274,True,100,0.40368481531486056,0.6265926048413579,0.1767437157034874,-0.021423329934477806,-0.19816704563796522,-1.254879284446639,0.894480695303195,-0.1774667303205482,False,100,0.3836943899177425,0.6339027450294101,0.3115756506100297,0.23385805007070304,-0.07771760053932664,-0.6037096802601521,0.7265742223263845,-0.08537744175598319,False,0.48344495505094526,True,constant
200,6,100,0.39559135906552834,0.6356825465646537,0.19879825837910176,0.3986098290979862,0.19981157071888445,1.4236759556142664,0.07808534137175421,0.2013381844854172,False,100,0.41310393687025704,0.6447465899646118,0.2855277167260647,-0.0008410590514540673,-0.28636877577751874,-1.8469166692480266,0.9668735414944105,-0.26119346022235035,False,100,0.4210880927258565,0.6487724807982123,0.20038868006318808,0.3125353753566742,0.11214669529348611,0.8101739596185501,0.2094133214672077,0.1145759001574066,False,0.08766487542539833,True,constant
200,7,100,0.41018459639108656,0.654794508737286,0.007919976785779,0.39226799182593824,0.38434801504015925,2.610410416199427,0.004882112770605138,0.3691677813949225,True,100,0.4386658157105717,0.6615348946305288,-0.015271840766072273,0.13845049746334553,0.1537223382294178,1.1304367040870171,0.1298409055851029,0.1598678918324201,False,100,0.4262444756615822,0.6488618234144425,0.563437955006957,0.2744613565504551,-0.2889765984565019,-2.2352753516642925,0.9867256195618049,-0.3161156717961932,False,0.23062567681074145,True,clean
200,8,100,0.40993655678270025,0.6268691057429036,0.1932547603547573,0.5871900556981564,0.3939352953433991,2.8733698457627415,0.0022572894670634443,0.4063558605591558,True,100,0.42249134426296137,0.6474371730094326,0.05709297299385071,0.08993591081351042,0.03284293781965971,0.24440361828217738,0.4035864240527066,0.034563891166771214,False,100,0.4105007267908621,0.6508757508853928,0.5379972674697637,0.13217191707342862,-0.4058253503963351,-2.7919379180360546,0.997120404830165,-0.39483964689902906,False,0.3610923575237394,True,clean
200,9,100,0.4029789910325278,0.6351258084222836,0.22611671729013325,0.4333772342279553,0.20726051693782208,1.5050327952277607,0.06695812574531405,0.21284377908273885,False,100,0.40680108772934526,0.6545855025577377,0.06379655763506889,0.08215642727911472,0.01835986964404583,0.13732802419089898,0.44545742850950926,0.019421115430466984,False,100,0.4079951389861828,0.6509236720850266,0.41715488739311696,0.2081353446096182,-0.20901954278349877,-1.4225737476472078,0.9217595593470539,-0.20118230873986023,False,0.18890064729377626,True,clean
200,10,100,0.4032157708929775,0.6335989713041444,0.29278834246098995,0.2370936468243599,-0.05569469563663004,-0.3845658046811207,0.6495057543865868,-0.05438581766049637,False,100,0.4004128175042157,0.6443464253926114,0.16236247193068265,-0.19515591934323312,-0.35751839127391577,-2.4433335120130995,0.9922744904516361,-0.3455395390089611,False,100,0.40707167638874514,0.6250703751290672,0.24218713842332362,0.1935225783288479,-0.04866456009447573,-0.34737671066717757,0.635655947642018,-0.049126485547807706,False,-0.007030135542154314,False,constant
200,11,100,0.42163436373976104,0.673267743586441,0.2044545528665185,0.39203362483531234,0.18757907196879384,1.3642157806383914,0.08703646979538932,0.19292924589822127,False,100,0.39974197497892683,0.645995664788477,0.31886943280696867,0.07954108461737633,-0.23932834818959234,-1.6537240826736908,0.9501040333302367,-0.23387190261401386,False,100,0.40214526308257426,0.6386406328674956,0.4462900172546506,0.3204775280039758,-0.12581248925067484,-0.8945778894949459,0.8139497726524542,-0.12651241839228525,False,0.31339156121946865,True,constant
200,12,100,0.3913143079401643,0.6335646284283839,-0.12443534810096026,0.2506819164566696,0.37511726455762984,2.4669722031333072,0.007258497024356159,0.34888255476685576,False,100,0.38030521592666594,0.6269333293870483,-0.045185430198907854,-0.0442389127612114,0.0009465174376964564,0.006530421766483102,0.4973983106800112,0.0009235411030176866,False,100,0.42155991274693166,0.6532653800687171,0.28075725186616185,0.2169780431315303,-0.06377920873463155,-0.4266596136633502,0.6649504120262049,-0.0603387812159575,False,0.37417074711993337,True,clean
