postprocess,bias,grouping,budget,per_group,low_mean,high_mean,delta,one_sided_t,one_sided_p,cohen_d,decision_p005,decision_p001
identity,correct_dct_4_5,correct_key,400,200,0.16441555321216583,0.4380697011947632,0.27365416288375854,2.707514579124078,0.0035602600145131077,0.2707514559720146,True,False
identity,correct_dct_4_5,correct_key,650,325,0.14615046977996826,0.44362872838974,0.29747825860977173,3.664526703307146,0.00013521868383570108,0.2874691064175173,True,True
identity,correct_dct_4_5,correct_key,1000,500,0.18644975125789642,0.47225597500801086,0.28580623865127563,4.356662049437282,7.374854172949e-06,0.2755395142183947,True,True
identity,wrong_dct_1_7,correct_key,400,200,0.05734919384121895,-0.040858883410692215,-0.09820807725191116,-0.979107633619649,0.8358818801224265,-0.09791076894531658,False,False
identity,wrong_dct_1_7,correct_key,650,325,-0.027330532670021057,-0.04017064720392227,-0.012840114533901215,-0.15899857434406894,0.5631355605193773,-0.012472864307552475,False,False
identity,wrong_dct_1_7,correct_key,1000,500,-0.01879475824534893,-0.016693660989403725,0.0021010972559452057,0.03364589653246692,0.486583646421618,0.002127955007889071,False,False
identity,wrong_dct_7_1,correct_key,400,200,0.1834373027086258,0.09604199230670929,-0.0873953104019165,-0.9673371744148002,0.8329782257611528,-0.09673373752264755,False,False
identity,wrong_dct_7_1,correct_key,650,325,0.18838432431221008,0.02341386489570141,-0.16497045755386353,-2.1620655178801473,0.9844813887385664,-0.1696063646987963,False,False
identity,wrong_dct_7_1,correct_key,1000,500,0.13486237823963165,0.04473026841878891,-0.09013210982084274,-1.5054082956753563,0.933709748944847,-0.09521037617156239,False,False
identity,wrong_dct_6_6,correct_key,400,200,-0.02306104451417923,-0.11409565061330795,-0.09103460609912872,-1.0930314335031008,0.8624247893443482,-0.10930312616508563,False,False
identity,wrong_dct_6_6,correct_key,650,325,-0.05595274642109871,-0.10331350564956665,-0.04736075922846794,-0.7798957420486794,0.7821148694603127,-0.061180044664300916,False,False
identity,wrong_dct_6_6,correct_key,1000,500,-0.02870223857462406,-0.05087336152791977,-0.022171122953295708,-0.45304218781000677,0.6746867387453851,-0.028652896665661717,False,False
jpeg_q90,correct_dct_4_5,correct_key,400,200,0.16237731277942657,0.43742039799690247,0.2750430703163147,2.721225852531568,0.0034182946125216945,0.27212256266338497,True,False
jpeg_q90,correct_dct_4_5,correct_key,650,325,0.14460983872413635,0.442769855260849,0.29816001653671265,3.6711616057625442,0.0001318018751258207,0.2879896252673268,True,True
jpeg_q90,correct_dct_4_5,correct_key,1000,500,0.18557919561862946,0.4728466868400574,0.2872675061225891,4.3774011912829165,6.7196372077914904e-06,0.2768511525670379,True,True
jpeg_q90,wrong_dct_1_7,correct_key,400,200,0.0567442923784256,-0.037079986184835434,-0.09382428228855133,-0.9335133964937178,0.8243865380935254,-0.09335135278960308,False,False
jpeg_q90,wrong_dct_1_7,correct_key,650,325,-0.024780884385108948,-0.038602158427238464,-0.013821274042129517,-0.17071161823904848,0.567743253871879,-0.013391723452960125,False,False
jpeg_q90,wrong_dct_1_7,correct_key,1000,500,-0.015837861225008965,-0.015714552253484726,0.00012330897152423859,0.001976303048249466,0.49921179698976226,0.00012497739295603663,False,False
jpeg_q90,wrong_dct_7_1,correct_key,400,200,0.18145424127578735,0.10236165672540665,-0.0790925845503807,-0.8744835813899714,0.8087746450040568,-0.08744835621920913,False,False
jpeg_q90,wrong_dct_7_1,correct_key,650,325,0.18764334917068481,0.030868973582983017,-0.1567743718624115,-2.050063054660054,0.9795888895973365,-0.1608201768157198,False,False
jpeg_q90,wrong_dct_7_1,correct_key,1000,500,0.1351531445980072,0.04873309284448624,-0.08642005175352097,-1.4416550857989354,0.925121737513301,-0.09117827738839923,False,False
jpeg_q90,wrong_dct_6_6,correct_key,400,200,-0.020389728248119354,-0.11515256762504578,-0.09476283937692642,-1.133216896000551,0.8710456827392983,-0.11332169314474057,False,False
jpeg_q90,wrong_dct_6_6,correct_key,650,325,-0.05475787818431854,-0.10849543660879135,-0.05373755842447281,-0.8797424857531511,0.810320820009247,-0.06901267456829994,False,False
jpeg_q90,wrong_dct_6_6,correct_key,1000,500,-0.0264489334076643,-0.053191956132650375,-0.026743022724986076,-0.5428484920682264,0.7063170192389865,-0.03433275654229221,False,False
jpeg_q70,correct_dct_4_5,correct_key,400,200,0.16359391808509827,0.44209831953048706,0.2785044014453888,2.7591516223939694,0.0030513770208899357,0.275915166133531,True,False
jpeg_q70,correct_dct_4_5,correct_key,650,325,0.14725501835346222,0.44708383083343506,0.29982882738113403,3.6702596812343558,0.00013213959647797249,0.28791884166645454,True,True
jpeg_q70,correct_dct_4_5,correct_key,1000,500,0.1862274706363678,0.47761180996894836,0.29138433933258057,4.416779182513163,5.62087891412779e-06,0.27934163073628515,True,True
