grouping,budget,per_group,repeats,delta_mean,delta_q05,delta_q50,delta_q95,p_q05,p_q50,p_q95,false_detection_rate_p005
random_key_scores,400,200,2000,-0.00347753743827343,-0.1787079505622387,-0.004178270697593689,0.17139892876148222,0.051428264907828786,0.5160405995387274,0.9535004799861836,0.0025
random_key_scores,650,325,2000,-0.0012132235020399095,-0.137253800034523,-0.0022516101598739624,0.13277667686343192,0.054341928870083135,0.510970955854125,0.9511064893902955,0.007
random_key_scores,1000,500,2000,-0.002192845806479454,-0.10375316739082337,-0.0022747963666915894,0.10232617557048797,0.061087061799775584,0.5136976621480493,0.9414762065921116,0.005
