model,query_seed_base,Q_total,query_count_candidates,low_mean,high_mean,delta,p,det_p005,pearson_r,pearson_p,random_key_fpr
protected,20290000,1024,2048,0.04628435333688685,0.2064608600921929,0.16017650675530604,3.3409080254283053e-12,True,0.18090619910744946,7.917060213491596e-17,0.004
protected,20300000,1024,2048,0.07956850636219315,0.17962873935175594,0.10006023298956279,8.942545127170754e-06,True,0.10102281557224477,2.3170860956083055e-06,0.006
protected,20310000,1024,2048,0.04693465392483631,0.14072537978427135,0.09379072585943504,2.5184369315128414e-05,True,0.10948980069973113,3.4023480787803916e-07,0.001
protected,20320000,1024,2048,0.06628971367899794,0.13542243473420967,0.06913272105521173,0.0020508587481331956,True,0.0742826199004536,0.00038376847986436145,0.005
protected,20330000,1024,2048,0.047316259286162676,0.165398127395747,0.11808186810958432,1.0164153406334436e-07,True,0.12387716989510929,9.313442933315625e-09,0.004
protected,20340000,1024,2048,0.07364830609185447,0.1338227065443789,0.060174400452524424,0.004853702977156016,True,0.06214781802506443,0.0024503306615741367,0.006
protected,20350000,1024,2048,0.05313108028349234,0.16104956686103833,0.10791848657754599,9.711136983497317e-07,True,0.1291346437003779,2.246060211391289e-09,0.008
protected,20360000,1024,2048,0.08169775971327908,0.16939029022614704,0.08769253051286796,3.142925118238685e-05,True,0.09964385762209237,3.1233790622766707e-06,0.004
constant_dct,20290000,1024,2048,0.05356299560480693,0.12284689532316406,0.06928389971835713,0.000522698975122892,True,0.09086497758767871,1.9101270377405736e-05,0.003
constant_dct,20300000,1024,2048,0.07352227312730975,0.10139689356947201,0.027874620442162268,0.0968940059693547,False,0.024570621914776797,0.13319201088805613,0.003
constant_dct,20310000,1024,2048,0.05594592267425469,0.06237283261361881,0.006426909939364123,0.38134858919799697,False,0.020019930476790224,0.18259068338577072,0.006
constant_dct,20320000,1024,2048,0.062111554529110435,0.06328447210762533,0.0011729175785148982,0.4787822255615551,False,-0.003083909860310036,0.555463367300175,0.003
constant_dct,20330000,1024,2048,0.05352135984321649,0.08591107816027943,0.03238971831706294,0.05946753800530094,False,0.043568253226995896,0.024338704868201697,0.006
constant_dct,20340000,1024,2048,0.07308549751724058,0.052894115578965284,-0.0201913819382753,0.8319053856519294,False,-0.02920216941973414,0.9067516869176733,0.003
constant_dct,20350000,1024,2048,0.05339477326378983,0.0820422703272925,0.02864749706350267,0.08478875715469426,False,0.044366095094448124,0.02234594016088564,0.004
constant_dct,20360000,1024,2048,0.08440868268007762,0.08443429331782681,2.561063774919603e-05,0.49948802192528763,False,0.012089079297149124,0.29226657606901163,0.007
clean,20290000,1024,2048,-0.05847980477847159,0.0023423574275511783,0.06082216220602277,0.001326950678947845,True,0.07076412624031281,0.0006765303190702574,0.005
clean,20300000,1024,2048,-0.03905724497963092,-0.036681642624898814,0.0023756023547321092,0.4540948397653838,False,-0.011335605554241138,0.6959173853154679,0.007
clean,20310000,1024,2048,-0.05334832447806548,-0.05242316417024995,0.0009251603078155313,0.4814720421194828,False,0.007308217054837497,0.3704980101161078,0.004
clean,20320000,1024,2048,-0.026919495008769445,-0.06585619911311369,-0.038936704104344244,0.9719419561336828,False,-0.03607166645533667,0.9486551726022373,0.003
clean,20330000,1024,2048,-0.05909784086361469,-0.05042550911093713,0.008672331752677565,0.3322462925734613,False,0.020881110136743937,0.17245781124763998,0.005
clean,20340000,1024,2048,-0.0382751226752589,-0.0818066551546508,-0.0435315324793919,0.9832059808005776,False,-0.05256150945312089,0.9913167370458875,0.005
clean,20350000,1024,2048,-0.0500933092644118,-0.053595240984577686,-0.003501931720165885,0.5675806174956208,False,0.006179048689178253,0.38994446958457013,0.004
clean,20360000,1024,2048,-0.023480196123273345,-0.04733887752809096,-0.023858681404817617,0.8903078668180366,False,-0.02485650250868932,0.8695706473402895,0.007
