budget,per_group,false_count,repeats,fpr,ci95_low,ci95_high,median_p,median_delta
400,200,5,2000,0.0025,0.0010683087284139143,0.005839153316432755,0.5160405995387274,-0.004178270697593689
650,325,14,2000,0.007,0.0041743460559210965,0.011715862563394297,0.510970955854125,-0.0022516101598739624
1000,500,10,2000,0.005,0.00271818085849856,0.009179695949941846,0.5136976621480493,-0.0022747963666915894
