postprocess,budget,delta,p,decision_p005
identity,400,0.27365416288375854,0.0035602600145131077,True
jpeg_q90,400,0.2750430703163147,0.0034182946125216945,True
jpeg_q70,400,0.2785044014453888,0.0030513770208899357,True
gaussian_0.005,400,0.2727400064468384,0.0036699151385626567,True
gaussian_0.01,400,0.27204298973083496,0.0037549379197204273,True
resize_28,400,0.27294641733169556,0.0035653475011753013,True
blur_r05,400,0.2622833549976349,0.0034124942456328117,True
