bias,budget,delta,p,decision_p005
wrong_dct_1_7,650,-0.16497042775154114,0.9844813772414722,False
wrong_dct_7_1,650,-0.012840114533901215,0.5631355553863421,False
wrong_dct_6_6,650,-0.04736075922846794,0.7821148694603127,False
