bias_strength,source,high_low_gap,one_sided_p,paired_mae,paired_projection_shift,num_images
0.0,teacher_clean_s003_eval,-0.15063808858394623,0.9849543236953818,0.0,0.0,2000
0.02,exp_sigmoid_fixedbias_2000_K8_q1090_L50_1000step,0.2295917272567749,0.0006288363538318728,0.0011222024520739068,0.15132135152816772,2000
0.03,eval_student_teacher_2000_s003_1000step_ema_30k,0.3197891116142273,2.3553061839899518e-06,0.001734518096782267,0.23395172134041786,2000
